Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60
86,,運輸服務業,,,,,,,,,,,,,27755.16256,,,,,567.4806608,,,,415.035568,415.035568,,,,2494.0615,22891.76883,1386.816,,,,,,,,2203.875996,2115.338432,88.537564,,,,,,,,,,,,187189.7968,,,217148.8353,86,,TransportServices
87,,倉儲業,,,,,,,,,,,,,117.7444308,,,,,,,,,,,,,,,117.7444308,,,,,,,,,72.2382342,72.2382342,,,,,,,,,,,,,118080.8975,,,118270.8802,87,,WarehousingandStorage
88,,郵政及遞送服務業,,,,,,,,,,,,,3195.852358,,,,,,,,,2285.02344,2285.02344,,,,,910.8289176,,,,,,,,,0.5058768,0.5058768,,,,,,,,,,,,,10149.77573,,,13346.13396,88,,PostalandCourier
89,,住宿及餐飲業,,,,,,,,,,,,,216097.927,,,,,213161.6564,,,,103.776752,103.776752,,,,1254.0016,389.0738439,1189.4184,,,,,,,,250740.8027,186203.9935,64536.80924,,,,,,,,,,,,711614.4616,,,1178453.191,89,,AccommodationandFoodService
90,,出版影音及資通訊業,,,,,,,,,,,,,3958.704276,,,,,,,,,3012.35408,3012.35408,,,,,946.3501961,,,,,,,,,165.7158043,145.4549833,20.260821,,,,,,,,,,,,353006.8934,,,357131.3134,90,,InformationandCommunication
91,,(電信業),,,,,,,,,,,,,3807.647604,,,,,,,,,2962.548368,2962.548368,,,,,845.0992359,,,,,,,,,129.1049585,119.6390525,9.465906,,,,,,,,,,,,206019.0695,,,209955.822,91,,(Telecommunications)
92,,金融及保險業,,,,,,,,,,,,,8154.86749,,,,,,,,,987.048128,987.048128,,,,,7134.267362,33.552,,,,,,,,926.7582601,913.1424841,13.615776,,,,,,,,,,,,127628.1312,,,136709.757,92,,FinanceandInsurance
93,,不動產業,,,,,,,,,,,,,17.2366315,,,,,,,,,,,,,,,14.4406315,2.796,,,,,,,,658.7731378,655.7946868,2.978451,,,,,,,,,,,,73325.64022,,,74001.64999,93,,RealEstate
94,,專業、科學及技術服務業,,,,,,,,,,,,,2406.337505,,,,,198.4357181,,,,240.052688,240.052688,,,,,1925.909099,41.94,,,,,,,,8236.9496,7639.73603,597.21357,,,,,,,,,,,,89048.97072,,,99692.25782,94,,"Professional,ScientificandTechnical"
95,,支援服務業,,,,,,,,,,,,,8376.12748,,,,,,,,,7316.607312,7316.607312,,,,,967.9977684,91.5224,,,,,,,,931.3505415,515.548451,415.8020905,,,,,,,,,,,,50002.54407,,,59310.02209,95,,SupportService
96,,公共行政及國防,,,,,,,,,,,,,448970.3355,,,,,0.354194759,,,,16981.57,16981.57,,,185330.6945,,246308.2168,349.5,,,,,,,,13996.88078,9136.589811,4860.290973,,,,,,,,,,,,387892.2657,,,850859.482,96,,PublicAdministrationandDefence
97,,教育業,,,,,,,,,,,,,2385.669344,,,,,32.494932,,,,176.839568,176.839568,,,,,2127.870844,48.464,,,,,,,,14746.62362,10410.26599,4336.357629,,,,,,,,,,,,290021.513,,,307153.806,97,,Education
98,,醫療保健及社會工作服務業,,,,,,,,,,,,,2902.076212,,,,,0.035744425,,,,375.881936,375.881936,,,,,2032.198532,493.96,,,,,,,,34432.621,25599.52903,8833.091974,,,,,,,,,,,,306528.6002,,,343863.2975,98,,HumanHealthandSocialWork
99,,藝術、娛樂及休閒服務業,,,,,,,,,,,,,295.1065895,,,,,,,,,34.22728,34.22728,,,,,100.5753095,160.304,,,,,,,,11947.33478,8922.362336,3024.972444,,,,,,,,,,,,134699.3962,,,146941.8376,99,,"Arts,EntertainmentandRecreation"
100,,其他,,,,,,,,,,,,,85553.91246,,,,,2299.452954,,,,210.884112,210.884112,,,,,59112.69528,23930.88012,,,,,,,,49363.31433,37100.67699,12262.63734,,,,,,,,,,,,418233.9132,,,553151.14,100,,NotelsewherespecifiedService
101,,住宅部門,,,,,,,,,,,,,787066.1496,,,,,787066.1496,,,,,,,,,,,,,,,,,,,738775.5643,677278.3641,61497.20019,,,,,,,,,,,,4596025.775,,,6121867.489,101,,ResidentialSector
102,,非能源消費,148139.7559,,,24219.00596,,,,123920.7499,,,,,15366749.96,,,29097.144,,770514.1616,,,12974197.09,,,,,,,,,,399431.6905,371439.8018,55402.86968,19985.29412,8293.676762,738388.2351,,,,,,,,,,,,,,,,,,15514889.72,102,,Non-EnergyUse
103,,工業、轉變及能源部門,148139.7559,,,24219.00596,,,,123920.7499,,,,,15366749.96,,,29097.144,,770514.1616,,,12974197.09,,,,,,,,,,399431.6905,371439.8018,55402.86968,19985.29412,8293.676762,738388.2351,,,,,,,,,,,,,,,,,,15514889.72,103,,inIndustry/Transf./Energy
104,,(石化原料用),,,,,,,,,,,,,13744711.25,,,,,770514.1616,,,12974197.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13744711.25,104,,(Feedstocks)
105,,運輸部門,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,inTransport
106,,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,inOtherSectors
,,電能與熱能產出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,ElectricityandHeatOutput
1,,發電量(千度),113315535.4,,86911665.3,,22676595.18,,,,,1348258.453,1920131.949,458884.484,4182208.33,,,,493810.6407,,,,,,,,,,,238899.0234,3430759.942,,,,,,,18738.72475,122503395.4,35949.149,122467446.2,3875973.983,237716.1221,173769.7964,,63946.32573,3638257.861,12180275.76,7283480.396,26740.734,15295931.43,10509811.45,,,,289173352.8,1,,ElectricityGenerated(MWh)
2,,公用發電廠,83388659.97,,60712064.79,,22676595.18,,,,,,,,3538816.567,,,,,,,,,,,,,,,232412.9262,3306403.641,,,,,,,,121017642.7,,121017642.7,,,,,,,12180275.76,7279377.251,17015.185,4983688.462,10507534.92,,,,242913010.8,2,,PublicElectricityPlants
3,,自用發電廠,1546284.641,,1546284.641,,,,,,,,,,9087.872653,,,,,,,,,,,,,,,2481.238681,6606.633972,,,,,,,,17446.57,17446.57,,390363.1162,182230.1143,124962.9643,,57267.15,208133.0019,,4103.145,9725.549,10312242.97,2276.528,,,,12291530.39,3,,AutoproducerElectricityPlants
4,,公用汽電共生廠,1405727.125,,1405727.125,,,,,,,,,,2633.844738,,,,,,,,,,,,,,,557.091981,2076.752757,,,,,,,,65082.51391,,65082.51391,157249.0055,4204.942823,4204.942823,,,153044.0627,,,,,,,,,1630692.489,4,,PublicCogenerationPlants
5,,自用汽電共生廠,26974863.64,,23247588.75,,,,,,,1348258.453,1920131.949,458884.484,631670.046,,,,493810.6407,,,,,,,,,,,3447.766533,115672.914,,,,,,,18738.72475,1403223.597,18502.579,1384721.018,3328361.861,51281.06504,44601.88931,,6679.175732,3277080.796,,,,,,,,,32338119.14,5,,AutoproducerCogenerationPlants
6,,熱能(公噸),21933068.51,,20704077.2,,,,,,,435208.1042,637578.5668,156204.6372,2291806.703,,,,1099132.558,642486.1979,,,,,,,,,,2489.078613,525391.7871,,,,,,,22307.08124,333219.4736,,333219.4736,743959.9034,25767.48334,25767.48334,,,718192.4201,,,,,,,,,25302054.59,6,,HeatGenerated(MT)
7,,汽電共生廠,21933068.51,,20704077.2,,,,,,,435208.1042,637578.5668,156204.6372,2291806.703,,,,1099132.558,642486.1979,,,,,,,,,,2489.078613,525391.7871,,,,,,,22307.08124,333219.4736,,333219.4736,743959.9034,25767.48334,25767.48334,,,718192.4201,,,,,,,,,25302054.59,7,,CogenerationPlants
